route_short_name,stop_sequence,stop_name,stop_lat,stop_lon
FV,1,Vallvidrera Inferior,41.409328,2.111263
FV,1,Vallvidrera Superior,41.414111713828,2.1058163381683
FV,2,Vallvidrera Superior,41.414111713828,2.1058163381683
FV,2,Vallvidrera Inferior,41.409328,2.111263
L12,1,Reina Elisenda,41.39874599,2.118932325
L12,1,Sarrià,41.39849938,2.125574875
L12,2,Sarrià,41.39849938,2.125574875
L12,2,Reina Elisenda,41.39874599,2.118932325
L6,1,Barcelona - Plaça Catalunya,41.38563194,2.168720219
L6,1,Sarrià,41.39849938,2.125574875
L6,1,Peu del Funicular,41.40921616,2.111181541
L6,2,Provença,41.39281434,2.158030869
L6,2,Les Tres Torres,41.39780042,2.130811822
L6,2,Sarrià,41.39849938,2.125574875
L6,3,Gràcia,41.39909823,2.152662325
L6,3,La Bonanova,41.39781569,2.136433966
L6,3,Les Tres Torres,41.39780042,2.130811822
L6,4,Sant Gervasi,41.40106608,2.147133783
L6,4,Muntaner,41.39852644,2.142346041
L6,4,La Bonanova,41.39781569,2.136433966
L6,5,Muntaner,41.39852644,2.142346041
L6,5,Sant Gervasi,41.40106608,2.147133783
L6,6,La Bonanova,41.39781569,2.136433966
L6,6,Gràcia,41.39909823,2.152662325
L6,6,Sant Gervasi,41.40106608,2.147133783
L6,7,Les Tres Torres,41.39780042,2.130811822
L6,7,Provença,41.39281434,2.158030869
L6,7,Gràcia,41.39909823,2.152662325
L6,8,Sarrià,41.39849938,2.125574875
L6,8,Barcelona - Plaça Catalunya,41.38563194,2.168720219
L6,8,Provença,41.39281434,2.158030869
L6,9,Barcelona - Plaça Catalunya,41.38563194,2.168720219
L7,1,Barcelona - Plaça Catalunya,41.38563194,2.168720219
L7,1,Av. Tibidabo,41.40964799,2.137162791
L7,2,Provença,41.39281434,2.158030869
L7,2,El Putxet,41.40582569,2.139151477
L7,3,Gràcia,41.39909823,2.152662325
L7,3,Pàdua,41.40351065,2.142759094
L7,4,Pl. Molina,41.4016938,2.146754722
L7,5,Pàdua,41.40351065,2.142759094
L7,5,Gràcia,41.39909823,2.152662325
L7,6,El Putxet,41.40582569,2.139151477
L7,6,Provença,41.39281434,2.158030869
L7,7,Av. Tibidabo,41.40964799,2.137162791
L7,7,Barcelona - Plaça Catalunya,41.38563194,2.168720219
L8,1,Barcelona - Plaça Espanya,41.3747199,2.148458333
L8,1,Molí Nou - Ciutat Cooperativa,41.35751473,2.035276936
L8,2,Magòria La Campana,41.36748768,2.138879447
L8,2,Sant Boi,41.34856143,2.042855988
L8,3,Ildefons Cerdà,41.36090867,2.130023266
L8,3,Cornellà Riera,41.35147828,2.071263627
L8,4,Europa | Fira,41.35655892,2.124199344
L8,4,Almeda,41.35306747,2.085251402
L8,5,Gornal,41.35488589,2.117431558
L8,5,L'Hospitalet Av. Carrilet,41.35793378,2.102709519
L8,6,Sant Josep,41.36070098,2.10991665
L8,7,L'Hospitalet Av. Carrilet,41.35793378,2.102709519
L8,7,Gornal,41.35488589,2.117431558
L8,8,Almeda,41.35306747,2.085251402
L8,8,Europa | Fira,41.35655892,2.124199344
L8,9,Cornellà Riera,41.35147828,2.071263627
L8,9,Ildefons Cerdà,41.36090867,2.130023266
L8,10,Sant Boi,41.34856143,2.042855988
L8,10,Magòria La Campana,41.36748768,2.138879447
L8,11,Molí Nou - Ciutat Cooperativa,41.35751473,2.035276936
L8,11,Barcelona - Plaça Espanya,41.3747199,2.148458333
MM,1,Monistrol de Montserrat,41.6103596,1.84919403
MM,1,Montserrat,41.59225373,1.836497527
MM,1,Monistrol-Vila,41.61562791,1.843723316
MM,2,Monistrol-Vila,41.61562791,1.843723316
MM,2,Montserrat,41.59225373,1.836497527
MM,3,Montserrat,41.59225373,1.836497527
MM,3,Monistrol de Montserrat,41.6103596,1.84919403
R5,1,Barcelona - Plaça Espanya,41.3747199,2.148458333
R5,1,Manresa-Baixador,41.731457,1.827904
R5,1,Martorell Enllaç,41.48396936,1.918677519
R5,1,Martorell Central,41.4792845,1.925294975
R5,2,Magòria La Campana,41.36748768,2.138879447
R5,2,Manresa-Alta,41.73224,1.832986
R5,2,Abrera,41.52256137,1.906805399
R5,2,Martorell Enllaç,41.48396936,1.918677519
R5,3,Ildefons Cerdà,41.36090867,2.130023266
R5,3,Manresa Viladordis,41.72436991,1.83398595
R5,3,Olesa de Montserrat,41.54105908,1.888618922
R5,3,Abrera,41.52256137,1.906805399
R5,4,Europa | Fira,41.35655892,2.124199344
R5,4,Sant Vicenç-Castellgalí,41.66791016,1.8596058
R5,4,Montserrat-Aeri,41.59119812,1.853361605
R5,4,Olesa de Montserrat,41.54105908,1.888618922
R5,5,Gornal,41.35488589,2.117431558
R5,5,Castellbell i El Vilar,41.64051706,1.854793522
R5,5,Monistrol de Montserrat,41.6103596,1.84919403
R5,5,Montserrat-Aeri,41.59119812,1.853361605
R5,6,Sant Josep,41.36070098,2.10991665
R5,6,Monistrol de Montserrat,41.6103596,1.84919403
R5,6,Castellbell i El Vilar,41.64051706,1.854793522
